Fiscal Year,Fiscal Year_AD,Fiscal Year_AD_point,Paddy,Wheat,Maize,Lentil,Total
2064/65,2007/08,17-Jul-07,50,34,15,1,100
2065/66,2008/09,16-Jul-08,100,65,33,2,200
2066/67,2009/10,16-Jul-09,150,125,23,2,300
2067/68,2010/11,17-Jul-10,160,140,45,5,350
2068/69,2011/12,17-Jul-11,200,150,50,0,400
2069/70,2012/13,16-Jul-12,250,200,45,5,500
2070/71,2013/14,16-Jul-13,300,200,55,1,556
2071/72,2014/15,17-Jul-14,325,250,20,0,595
2072/73,2015/16,17-Jul-15,442.4,300,47,0.1,789.5
2073/74,2016/17,16-Jul-16,500,430,100,3.8,1033.8
2074/75 ,2017/18,16-Jul-17,651,466.6,134.5,6.72,1258.82
